sku,asin,fnsku,name,category,product_category,sub_category,moq,lead_time_days,cogs,units_per_box,dimensions,weight_kg,cbm,is_active,amazon_active,noon_active,country,saddl_id
006871-BF03,B0CZBXLLHM,X001ZWYR31,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Marron - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF05,B0CZC81MW7,X001ZWRE95,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Candy Floss - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF06,B0CZC9KR98,X001ZWRE9F,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Cobalt - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF07,B0CZBY1M1Q,X001ZWRFQH,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Coffee - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF08,B0CZC4K1K8,X001ZWREQN,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Dim Grey - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF11,B0CZC4TQY6,X001ZWRFRL,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Persian - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF12,B0CZC4LLTG,X001ZX02XT,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Plum - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF14,B0CZC4B7B6,X001ZWYR45,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Teal Green - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
006871-BF15,B0CZC5B7L6,X001ZWREA9,"Raymond Home Bath Mat - Luxurious, Ultra-Absorbent Bathroom Mat with Non-Slip Backing Color Light Pink - (50 * 80 CM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0068QL-0001,B0CZLZ6XMV,X001ZWR4NL,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Solid Doble Size Bed Peach Finish 200 GSM - White (229 x 152 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF01,B0BVMXMNWV,X001RAXYPN,Raymond Home Bath Towel Super Soft 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF01New,B0CGN82756,X001UXG3M3,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel - Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF02,B0BVMY3BDJ,X001RASYS5,Raymond Home Bath Towel Super Soft 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF02New,B0CGN9D5FB,X001UXDUGZ,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel - Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF03,B0BVMY6X22,X001RAXZZ7,Raymond Home Bath Towel Super Soft 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF03New,B0CGNBY31N,X001UXDUHT,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel - Coral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF05,B01AJVBWXI,X001RAXYPD,Raymond Home Bath Towel 150x75x65 Cm 008620-Bf05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF05New,B0CGN8MHH9,X001UXIBWX,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel - Blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF06,B0BVMXGH79,X001RAT03X,Raymond Home Bath Towel Super Soft 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008620-BF06New,B0CGN9SPJN,X001UXIBW3,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 500 GSM Yarn dyed Pure Cotton (75x150 cm) Towel - Light Blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF01,B0BVMXLNVY,X001RAXZY3,Raymond Home Bath Towel Super Soft 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF01New,B0CGN8RZXC,X001UXG3L9,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel - Medium Blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF02,B0BVN15WD5,X001RASYR1,Raymond Home Bath Towel Super Soft 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF02New,B0CGN8VTXJ,X001UXDUGP,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel - Mauve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF03,B0BVMX32FJ,X001RAXYNZ,Raymond Home Bath Towel Super Soft 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF03New,B0CGN9FYK3,X001UXG3LT,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel - Coral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF04,B01AJVBYF4,X001RAXZXT,Raymond Home Bath Towel 150x75x60 Cm 008621-Bf04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
008621-BF04New,B0CGN85XG2,X001UXG1TX,"Raymond Home Bath Towel - for Men & Women | Soft, Highly Absorbent, Quick Dry & Anti Microbial 440 GSM Yarn Dyed Pure Cotton (75x150 cm) Towel - Navy Blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
