ASIN,SKU,Title,FNSKU,Category,Sub-Category,COGS
B0C77HR86X,500MLTEAPINKS,S2C Water Bottle Stainless Steel 500ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (TEA PINK 500ML),X001SLK0QR,Water Bottles,500 ML,8.2
B0BM6NZ9XT,WB750MLBLACKS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (BLACK 750ml),X001SLORBB,Water Bottles,750ML,9.64
B0BM6M92RQ,WB750MLBLUES,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (BLUE 750ml),X001O402EN,Water Bottles,750ML,9.64
B0BM6LKX1Z,WB750MLSGREENS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (GREEN 750ml),X001O3RC79,Water Bottles,750ML,9.64
B0BM6N374C,WB750MLGREYS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (GREY 750ml),X001O3V3UV,Water Bottles,750ML,9.64
B0CFVZNVYZ,WB750mlPEACHS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (PEACH 750ml),X001O3RCE7,Water Bottles,750ML,9.64
B0CFVWG53B,WB750mlPURPLES,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (PURPLE 750ml),X001UBPE7P,Water Bottles,750ML,9.64
B0BM6MYHN5,WB750MLREDS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (RED 750ml),X001UBW51D,Water Bottles,750ML,9.64
B0CFVTL8S5,WB750mlSILVERS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (SILVER 750ml),X001O3R90T,Water Bottles,750ML,9.64
B0BM6M3DPW,WB750MLPINKS,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (TEA PINK 750ml),X001UBWYFFZ,Water Bottles,750ML,9.64
